UniqueCount	AmbigCount
154	0
4748	0
338	0
1296	0
382	0
484	0
270	0
400	0
2460	0
4	0
3872	0
578	0
220	0
844	0
404	0
6	0
296	0
0	108
470	570
436	0
544	0
2	0
6268	894
26	0
21	0
0	0
1182	0
0	0
0	1
176	0
20	0
0	292
4	0
4	7731
626	0
62	0
5526	2
205	0
4	0
66	0
780	0
2	1
610	0
8	0
314	0
200	0
298	0
171	296
0	0
1	0
338	4
456	0
452	0
264	0
888	0
0	0
78	0
0	2
96	0
650	0
294	0
3018	0
284	0
1570	0
142	0
2	0
176	0
234	0
554	0
12144	380
4	0
238	0
1522	0
4099	0
19	4
634	0
0	0
952	0
790	0
799	9730
2785	0
902	2
52	0
2	0
1736	0
2084	0
564	0
0	1
0	25
2580	498
174	0
412	0
2859	1
548	0
480	0
142	0
1	23
1788	16156
302	0
602	0
696	0
108	0
372	0
17193	65
862	0
462	0
0	82
638	0
234	0
210	0
1034	0
344	190
28	0
76	152
132	0
470	0
1180	0
304	0
8	0
238	0
1122	0
2944	0
8	0
1883	1
4720	294
11	0
2186	0
1236	0
264	0
1022	0
722	0
396	0
0	0
288	0
2676	2586
668	0
340	0
1078	0
320	0
1248	0
518	0
636	0
538	0
1339	1
1340	0
968	0
23	2
70	524
2060	0
520	0
638	0
592	0
150	0
1814	0
726	1080
439	1
490	32
152	0
480	0
588	0
0	0
0	0
4	0
948	0
10586	0
1126	0
278	0
18	0
76	0
696	0
2	236
1162	0
390	0
3	0
304	0
3962	0
5922	0
542	0
560	0
814	0
1601	1
598	0
186	0
0	160
558	0
276	0
736	0
15420	0
272	0
242	0
1560	0
372	2
1224	0
376	0
516	0
2048	0
4578	0
274	0
2972	0
394	0
147	0
528	0
3624	0
284	0
68	0
1304	0
406	0
1316	0
1178	0
6	6936
2196	0
138	0
3070	0
730	0
64	0
296	0
152	0
534	0
426	0
4	2
614	0
24	0
5242	0
0	0
0	0
1026	0
18	0
350	0
1498	0
1304	0
260	0
374	0
206	0
2418	0
968	0
142	0
1292	0
226	0
4	0
602	0
606	0
73	0
12	24
186	0
152	0
1254	0
21878	134
742	0
464	0
3140	2
0	0
7366	470
996	0
438	0
656	0
1550	0
1706	0
788	0
618	0
1	0
0	0
170	0
434	0
1123	0
932	0
12	0
1972	0
682	0
452	0
630	0
236	0
0	278
426	0
892	0
210	0
2644	0
1014	0
0	0
498	0
1130	0
924	0
282	0
384	794
62	218
240	0
534	0
312	0
784	0
1	0
788	0
858	0
3840	0
808	0
0	0
617	1
8	0
556	0
3022	0
18858	0
0	0
1860	0
86	0
7892	0
686	0
604	0
0	0
816	2324
3792	0
4	0
5630	1828
256	0
488	0
2	0
0	0
336	0
132	0
354	0
796	0
2	0
522	0
10	0
3331	5
812	0
776	0
860	0
16	2
220	0
0	0
442	0
948	0
657	1
2274	0
124	0
150	0
340	0
554	0
760	0
2466	0
236	0
658	0
616	0
390	0
1758	0
772	0
506	0
184	0
608	0
260	0
12	0
478	0
570	0
4	1
0	0
2138	0
6	2
15	0
0	0
248	0
714	0
382	0
3058	0
1462	0
731	1
6808	2418
250	0
0	0
704	0
208	0
216	0
2	0
158	0
670	0
3354	0
656	0
128	0
262	0
256	32
342	0
214	0
1748	0
198	0
1226	0
834	0
2156	0
2336	414
1336	0
2	0
200	0
624	0
3534	0
54	0
0	0
420	0
0	0
760	0
82	0
1146	0
340	0
8	0
1514	0
398	0
136	0
772	0
1500	0
110	0
992	0
12	0
2294	0
354	0
568	0
0	0
304	0
445	0
1316	0
0	0
204	0
688	0
269	0
12	0
438	0
541	7787
4	1
1076	0
2	0
1268	0
1074	0
602	0
1492	0
0	0
2192	0
302	0
3408	402
22	0
314	0
1746	0
906	0
2062	0
260	0
1174	0
0	1
670	0
142	0
2	1
0	0
354	0
870	0
842	0
546	0
7590	0
2	2
524	0
668	0
0	0
0	0
674	0
0	0
3208	0
714	0
1380	0
196	0
1262	0
264	0
748	0
16	0
244	0
514	0
312	0
582	0
652	0
2	0
3304	0
196	0
662	0
1183	0
0	2
2838	0
332	0
468	0
280	0
0	0
0	218
216	0
320	0
1594	0
0	13
482	0
1	0
0	0
712	0
640	0
0	268
2093	3
320	0
60	0
1140	0
0	4
1342	0
666	0
847	0
1688	0
98	0
582	0
90	0
590	0
18	0
232	0
138	0
1642	0
2044	0
436	0
214	0
6	0
88	380
284	492
686	0
52	0
1123	0
950	0
1522	6
0	0
394	0
1496	44
306	0
498	0
698	0
1420	0
4	0
390	0
622	0
1506	0
3081	0
1139	1
618	0
224	0
772	0
578	0
0	0
588	0
3662	14
436	0
257	0
2	0
614	0
0	0
2	0
438	0
62	0
820	0
332	0
1348	0
10	0
0	0
598	0
0	0
1214	0
6226	0
3930	2
632	0
370	0
348	0
10	0
8	0
8	0
2430	0
0	0
606	4
232	0
615	1
0	0
36584	0
580	0
60	0
794	0
448	0
1594	2418
430	0
154	0
798	0
283	0
1606	0
506	0
0	0
446	0
1040	0
2726	0
5760	110
1472	0
616	0
4	0
212	0
674	0
276	0
1300	0
552	0
252	0
544	0
3980	0
276	0
2232	0
1306	0
0	6
886	0
0	0
998	0
6	0
1520	0
10	0
0	0
310	0
1	3
2408	2
290	0
1273	1
1934	0
622	0
472	0
256	0
902	0
1338	2
8	0
610	0
182	0
914	0
50	0
542	0
1132	0
85	0
812	0
2970	3
594	0
942	0
1268	0
204	0
19764	0
2	62
1748	0
502	0
480	0
98	0
626	0
362	0
406	0
2316	0
252	0
6	0
258	0
256	0
108	0
0	0
24	0
50	0
862	0
1562	0
240	0
558	0
404	0
0	108
404	0
518	2
646	0
282	0
946	0
4104	1714
1882	0
434	0
288	0
434	0
0	31
3862	0
968	0
339	0
2	0
481	0
2	0
988	0
708	0
501	0
10	0
1766	6
1700	0
594	0
790	0
560	0
2708	0
312	0
2	0
496	0
8	0
14	6
540	0
1040	0
0	0
424	0
616	0
512	0
1252	0
956	0
1184	16309
352	0
74	0
2424	0
102	0
394	0
506	0
142	0
585	1
12556	0
214	0
22	0
4	2
0	0
2979	1
0	0
1427	1
538	0
1260	12
68	382
76	0
0	0
0	0
236	0
588	0
192	0
16	0
10910	1906
428	0
2948	0
104	0
1552	0
3112	2558
590	0
8562	0
2554	0
652	0
728	0
866	0
132	0
316	0
204	0
990	1080
220	0
2995	1
276	0
816	0
678	0
684	0
254	0
2	1
212	0
4986	4
618	0
0	0
1298	0
564	0
396	0
1480	0
200	0
842	0
154	0
190	0
1678	0
2670	324
384	0
696	0
874	0
1044	0
16	0
2826	0
392	0
316	0
0	6
0	374
0	0
370	0
958	0
1098	0
752	0
8894	0
2	0
1544	4
348	0
4712	160
1534	0
528	0
136	0
82	0
352	0
0	0
316	0
798	3410
102	0
810	0
964	6
280	0
434	0
558	0
620	0
328	0
42	1
200	0
2256	0
160	0
1035	1
900	0
570	0
2924	6
3456	0
1078	0
2	0
14	0
2	0
516	0
4482	0
1206	0
2170	0
0	18
0	0
116	0
182	0
680	0
0	0
336	0
2	0
262	0
345	1
338	0
412	0
234	0
7983	0
682	0
412	0
382	0
6202	0
848	0
144	0
8	5
996	0
186	0
30	0
340	0
